iter	Passed	Remaining
632	5775	3348
633	5785	3339
634	5792	3329
635	5802	3321
636	5812	3312
637	5821	3303
638	5830	3293
639	5839	3284
640	5846	3274
641	5855	3265
642	5864	3256
643	5874	3247
644	5882	3237
645	5890	3228
646	5899	3218
647	5909	3210
648	5918	3200
649	5927	3191
650	5936	3182
651	5945	3173
652	5955	3164
653	5964	3155
654	5974	3146
655	5982	3137
656	5993	3129
657	6002	3119
658	6012	3111
659	6021	3102
660	6031	3093
661	6040	3084
662	6049	3075
663	6062	3067
664	6071	3058
665	6080	3049
666	6090	3040
667	6100	3031
668	6108	3022
669	6118	3013
670	6126	3003
671	6135	2994
672	6144	2985
673	6153	2976
674	6163	2967
675	6171	2957
676	6180	2948
677	6189	2939
678	6197	2929
679	6206	2920
680	6215	2911
681	6225	2902
682	6234	2893
683	6244	2884
684	6258	2877
685	6271	2870
686	6282	2862
687	6292	2853
688	6301	2844
689	6310	2835
690	6320	2826
691	6330	2817
692	6338	2807
693	6348	2799
694	6363	2792
695	6375	2784
696	6385	2775
697	6394	2766
698	6403	2757
699	6412	2748
700	6421	2738
701	6430	2729
702	6440	2720
703	6449	2711
704	6458	2702
705	6466	2692
706	6474	2683
707	6483	2674
708	6492	2664
709	6501	2655
710	6510	2646
711	6519	2637
712	6529	2628
713	6537	2618
714	6546	2609
715	6556	2600
716	6564	2590
717	6571	2581
718	6581	2572
719	6590	2562
720	6600	2553
721	6609	2544
722	6619	2536
723	6629	2527
724	6638	2517
725	6647	2508
726	6658	2500
727	6667	2491
728	6677	2482
729	6687	2473
730	6696	2464
731	6704	2454
732	6713	2445
733	6723	2436
734	6732	2427
735	6744	2419
736	6760	2412
737	6771	2404
738	6783	2395
739	6799	2388
740	6811	2380
741	6825	2373
742	6842	2366
743	6859	2360
744	6877	2353
745	6891	2346
746	6906	2339
747	6920	2331
748	6932	2323
749	6944	2314
750	6955	2306
751	6968	2298
752	6986	2291
753	6996	2282
754	7007	2274
755	7022	2266
756	7034	2258
757	7046	2249
758	7059	2241
759	7073	2233
760	7086	2225
761	7096	2216
762	7108	2207
763	7120	2199
764	7133	2191
765	7143	2182
766	7156	2174
767	7168	2165
768	7177	2156
769	7190	2147
770	7203	2139
771	7215	2131
772	7228	2122
773	7238	2113
774	7254	2106
775	7268	2097
776	7278	2088
777	7292	2081
778	7307	2072
779	7322	2065
780	7335	2056
781	7345	2047
782	7357	2038
783	7370	2030
784	7383	2022
785	7392	2012
786	7404	2003
787	7416	1995
788	7427	1986
789	7436	1976
790	7449	1968
791	7460	1959
792	7471	1950
793	7484	1941
794	7497	1933
795	7509	1924
796	7521	1915
797	7534	1907
798	7546	1898
799	7555	1888
800	7567	1879
801	7580	1871
802	7590	1862
803	7601	1853
804	7615	1844
805	7628	1836
806	7639	1826
807	7651	1818
808	7665	1809
809	7677	1800
810	7688	1791
811	7703	1783
812	7718	1775
813	7728	1766
814	7738	1756
815	7751	1747
816	7765	1739
817	7778	1730
818	7787	1721
819	7798	1711
820	7810	1702
821	7820	1693
822	7831	1684
823	7843	1675
824	7855	1666
825	7863	1656
826	7874	1647
827	7884	1637
828	7892	1628
829	7900	1618
830	7910	1608
831	7919	1599
832	7928	1589
833	7937	1579
834	7948	1570
835	7957	1560
836	7967	1551
837	7978	1542
838	7987	1532
839	7997	1523
840	8007	1513
841	8015	1504
842	8026	1494
843	8035	1485
844	8046	1475
845	8055	1466
846	8065	1456
847	8075	1447
848	8085	1437
849	8095	1428
850	8104	1419
851	8113	1409
852	8123	1399
853	8133	1390
854	8144	1381
855	8153	1371
856	8163	1362
857	8172	1352
858	8181	1342
859	8190	1333
860	8200	1323
861	8209	1314
862	8219	1304
863	8229	1295
864	8239	1286
865	8249	1276
866	8258	1266
867	8268	1257
868	8277	1247
869	8287	1238
870	8295	1228
871	8308	1219
872	8317	1210
873	8328	1200
874	8338	1191
875	8347	1181
876	8356	1172
877	8366	1162
878	8376	1153
879	8387	1143
880	8397	1134
881	8407	1124
882	8416	1115
883	8429	1106
884	8441	1096
885	8452	1087
886	8463	1078
887	8474	1068
888	8484	1059
889	8494	1049
890	8503	1040
891	8513	1030
892	8522	1021
893	8530	1011
894	8540	1001
895	8549	992
896	8559	982
897	8567	973
898	8576	963
899	8586	954
900	8596	944
901	8605	934
902	8616	925
903	8626	916
904	8635	906
905	8645	897
906	8660	887
907	8673	878
908	8682	869
909	8691	859
910	8700	850
911	8710	840
912	8718	830
913	8727	821
914	8737	811
915	8746	802
916	8755	792
917	8764	782
918	8772	773
919	8781	763
920	8792	754
921	8804	744
922	8815	735
923	8824	725
924	8834	716
925	8844	706
926	8854	697
927	8863	687
928	8872	678
929	8881	668
930	8892	659
931	8900	649
932	8909	639
933	8919	630
934	8928	620
935	8938	611
936	8948	601
937	8959	592
938	8968	582
939	8979	573
940	8988	563
941	9000	554
942	9013	544
943	9025	535
944	9034	525
945	9043	516
